Direccion Std,Estatus,Latitud,Longitud
"Colegio San Isidro De La Zona 0, Ate",No geocodificable,No encontrado,No encontrado
"Colina 494, Bellavista",No geocodificable,No encontrado,No encontrado
"Colon 159, Pampas",No geocodificable,No encontrado,No encontrado
"Colon 555 A8 Ya9, Callao",No geocodificable,No encontrado,No encontrado
"Colon 555, Callao",No geocodificable,No encontrado,No encontrado
"Colon 589, Callao",No geocodificable,No encontrado,No encontrado
"Colon 590, Callao",No geocodificable,No encontrado,No encontrado
"Colon 602, Callao",No geocodificable,No encontrado,No encontrado
"Colon 613, Callao",No geocodificable,No encontrado,No encontrado
"Colonial 0 5, Bellavista",No geocodificable,No encontrado,No encontrado
"Colonial 2600, Bellavista",No geocodificable,No encontrado,No encontrado
Comercio 0,No geocodificable,No encontrado,No encontrado
Comercio 71,No geocodificable,No encontrado,No encontrado
Comercio 225,No geocodificable,No encontrado,No encontrado
"Comercio 307, La Joya",No geocodificable,No encontrado,No encontrado
"Comercio 310, La Joya",No geocodificable,No encontrado,No encontrado
"Comercio 317, La Joya",No geocodificable,No encontrado,No encontrado
Comercio 401,No geocodificable,No encontrado,No encontrado
Comercio 545,No geocodificable,No encontrado,No encontrado
Comercio 558,No geocodificable,No encontrado,No encontrado
"Comercio  601 Panamericana, Chala",No geocodificable,No encontrado,No encontrado
Comercio Pto 62-A 62,No geocodificable,No encontrado,No encontrado
Comercio Puesto N?2 1531,No geocodificable,No encontrado,No encontrado
Comercio S/N 0,No geocodificable,No encontrado,No encontrado
Complejo Pesquero S/N,No geocodificable,No encontrado,No encontrado
"Concordia . 2, Jacobo Hunter",No geocodificable,No encontrado,No encontrado
"Confraternidad 135, El Tambo",No geocodificable,No encontrado,No encontrado
Cono Norte 0,No geocodificable,No encontrado,No encontrado
"Coo.Montecarlo 4 B, Ventanilla",No geocodificable,No encontrado,No encontrado
"Coo.Pequeños Industriales 06 B, Ate",No geocodificable,No encontrado,No encontrado
"Coo.Victor Raul Haya De La To 19 B, Cayma",No geocodificable,No encontrado,No encontrado
"Coop 28 De Agosto ., Ite",No geocodificable,No encontrado,No encontrado
"Coop. 03 De Didicmenbre 0 12, Coronel Gregorio Alb",No geocodificable,No encontrado,No encontrado
"Coop. Colonial Pto 66, Bellavista",No geocodificable,No encontrado,No encontrado
"Cordova 6021, Calca",No geocodificable,No encontrado,No encontrado
Coronel Bardales 359,No geocodificable,No encontrado,No encontrado
Coronel Trigoso Reyna 231,No geocodificable,No encontrado,No encontrado
Corredor Comercial E_Cc1 0,No geocodificable,No encontrado,No encontrado
Costado Mercado Barazorda 0,No geocodificable,No encontrado,No encontrado
Crespo Castillo 109,No geocodificable,No encontrado,No encontrado
"Cristobal Colon 735, Callao",No geocodificable,No encontrado,No encontrado
Cultura 143,No geocodificable,No encontrado,No encontrado
"D 515, Castilla",No geocodificable,No encontrado,No encontrado
"D-12 S/N, Rupa-Rupa",No geocodificable,No encontrado,No encontrado
"Damaso Davila 0 10, Callaria",No geocodificable,No encontrado,No encontrado
"Daniel Alcides C. 414, Moro",No geocodificable,No encontrado,No encontrado
De Abastos - Psto 14,No geocodificable,No encontrado,No encontrado
De Abastos - Psto 43589,No geocodificable,No encontrado,No encontrado
"De Abastos S/N 43589, Pangoa",No geocodificable,No encontrado,No encontrado
"De La Marina 4707, La Perla",No geocodificable,No encontrado,No encontrado
"De La Union 0 12, Callao",No geocodificable,No encontrado,No encontrado
"Dean Valdivia 309, Dean Valdivia",No geocodificable,No encontrado,No encontrado
"Del Castillo V 10, Ate",No geocodificable,No encontrado,No encontrado
Derecha 344,No geocodificable,No encontrado,No encontrado
"Diego Molina 200, Independencia",No geocodificable,No encontrado,No encontrado
"Diez / Once 0 183, Ventanilla",No geocodificable,No encontrado,No encontrado
"Dios Es Mi Proveedor 0, Santa",No geocodificable,No encontrado,No encontrado
"Dios Es Mi Proveedor Psto.S/N 0, Santa",No geocodificable,No encontrado,No encontrado
"Dios Mi Proveedor Psto.6 Y 7 0, Santa",No geocodificable,No encontrado,No encontrado
Domingo Negron 0,No geocodificable,No encontrado,No encontrado
Dos De Mayo 1,No geocodificable,No encontrado,No encontrado
"Dos De Mayo 9, San Jeronimo",No geocodificable,No encontrado,No encontrado
Dos De Mayo 577,No geocodificable,No encontrado,No encontrado
Dos De Mayo 642,No geocodificable,No encontrado,No encontrado
Dos De Mayo 787,No geocodificable,No encontrado,No encontrado
"E. Faucett 370, San Miguel",No geocodificable,No encontrado,No encontrado
"E. Pallardelli . E-1, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"E. Pallardelli . E-4, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
Echenique 177,No geocodificable,No encontrado,No encontrado
Echenique S/N,No geocodificable,No encontrado,No encontrado
"Eduardo Buzzo 177, Perene",No geocodificable,No encontrado,No encontrado
"Eduardo Buzzo Costado Del Parq 0, Perene",No geocodificable,No encontrado,No encontrado
"Eduardo Buzzo S/N Con Anachico S/N, Perene",No geocodificable,No encontrado,No encontrado
"Eduardo Buzzo S/N, Perene",No geocodificable,No encontrado,No encontrado
"Eduardo Del Aguila 203, Callaria",No geocodificable,No encontrado,No encontrado
"Ee.Uu 104 A, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Egipto 434, La Esperanza",No geocodificable,No encontrado,No encontrado
"Ej Rcito 185, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 356, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 485, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 495, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 506, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 555, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 560, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito 793 R-03, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 795, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 902, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 904, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 906, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 909, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1006, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1008, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1009 K-33, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1009, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1010, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1020, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito 1179, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
Ejercito - S/N 0,No geocodificable,No encontrado,No encontrado
Ejercito Cda. 01 0,No geocodificable,No encontrado,No encontrado
"Ejercito Cudra 11 0, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito N 1044C, Cayma",No geocodificable,No encontrado,No encontrado
"Ejercito S/N 0, Andres Avelino Cacer",No geocodificable,No encontrado,No encontrado
"Ejercito31, Cayma",No geocodificable,No encontrado,No encontrado
"El Alamo 1, Callao",No geocodificable,No encontrado,No encontrado
"El Alamo 56 2 Do P, Callao",No geocodificable,No encontrado,No encontrado
"El Alamo 67, Callao",No geocodificable,No encontrado,No encontrado
"El Ayllu Comida, Ventanilla",No geocodificable,No encontrado,No encontrado
El Ejercito 0,No geocodificable,No encontrado,No encontrado
"El Inca 0 1, La Victoria",No geocodificable,No encontrado,No encontrado
"El Inca 0 20, La Victoria",No geocodificable,No encontrado,No encontrado
"El Inca 0 49, La Victoria",No geocodificable,No encontrado,No encontrado
"El Nazareno 1Ra Etapa . 19, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"El Pacifico 399, La Perla",No geocodificable,No encontrado,No encontrado
"El Pacifo 0, Bellavista",No geocodificable,No encontrado,No encontrado
"El Pueblo 0 45, Ventanilla",No geocodificable,No encontrado,No encontrado
"El Sol 157, Saña",No geocodificable,No encontrado,No encontrado
Eleazar Guzman 187,No geocodificable,No encontrado,No encontrado
"Elias Aguire 0, Independencia",No geocodificable,No encontrado,No encontrado
"Elias Aguirre 0 24, Santa",No geocodificable,No encontrado,No encontrado
"Elias Aguirre 0, Independencia",No geocodificable,No encontrado,No encontrado
"Elmer Calderons/N 0, Putina",No geocodificable,No encontrado,No encontrado
"Emancipacion 0, Santo Tomas",No geocodificable,No encontrado,No encontrado
Emilio Acosta 221,No geocodificable,No encontrado,No encontrado
Enlace Mza 30 Lte 10 0,No geocodificable,No encontrado,No encontrado
"Enrique Meins 357, Callao",No geocodificable,No encontrado,No encontrado
"Enrique Palacios 0, Santa",No geocodificable,No encontrado,No encontrado
"Entrada A Santo Tomas 2, Santo Tomas",No geocodificable,No encontrado,No encontrado
"Entrada Campo Ferial Lt.2 0, Casma",No geocodificable,No encontrado,No encontrado
"Espa A 124, Pedro Galvez",No geocodificable,No encontrado,No encontrado
"Espa A 366 0, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa A Mz 16 Lt C2, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa A S/N, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A 0, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A 220, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A 260, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A 384, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A 720, Pangoa",No geocodificable,No encontrado,No encontrado
"Espa?A S/N, Pangoa",No geocodificable,No encontrado,No encontrado
"Espaldo Mercado 0, Tuman",No geocodificable,No encontrado,No encontrado
"Esq Av Alamos . 1, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Estacion Costa Verde 0, Sayan",No geocodificable,No encontrado,No encontrado
"Estrada. ., Coya",No geocodificable,No encontrado,No encontrado
"Estudiantes 361, Moro",No geocodificable,No encontrado,No encontrado
"Eucaliptos 195 0, Bellavista",No geocodificable,No encontrado,No encontrado
"Euterpe 280, Ate",No geocodificable,No encontrado,No encontrado
"Evitamiento 4, Imperial",No geocodificable,No encontrado,No encontrado
"Evitamiento Norte 573, El Tambo",No geocodificable,No encontrado,No encontrado
Ex Cementerio Pto 6 - 7 6,No geocodificable,No encontrado,No encontrado
"Ex Mercado Modelo Puesto A- 2, Rupa-Rupa",No geocodificable,No encontrado,No encontrado
"Explanada 300, San Vicente De Cañet",No geocodificable,No encontrado,No encontrado
"F04 Alto Peru 0 4, Santa",No geocodificable,No encontrado,No encontrado
F. Belaunde Terry S/N 0,No geocodificable,No encontrado,No encontrado
"Fe Y Esperanza 0 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Fe Y Esperanza 1Ro De Mayo 4, Ventanilla",No geocodificable,No encontrado,No encontrado
"Felipe Santiago Crespo 250, San Luis",No geocodificable,No encontrado,No encontrado
"Feria Altiplano . Sn, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Feria Altiplano/Cl Union . Sn, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Feria Boliviana Sn, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
Feria Carrillo Bloque 13  Pues 0,No geocodificable,No encontrado,No encontrado
Feria Chacra A La Olla Kiosko 0,No geocodificable,No encontrado,No encontrado
Feria Chacra A La Olla Pto- 7 0,No geocodificable,No encontrado,No encontrado
Feria Chacra A La Olla Pto. 13 0,No geocodificable,No encontrado,No encontrado
Feria Chacra A La Olla Puesto- 0,No geocodificable,No encontrado,No encontrado
"Feria Del Altiplano ., Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Feria Los Incas . Sn, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
Feria Milagros 0,No geocodificable,No encontrado,No encontrado
Feria Nuevo Ilo -,No geocodificable,No encontrado,No encontrado
"Feria Popular S/N 0, Santa",No geocodificable,No encontrado,No encontrado
"Feria Sagrado Corazon De Jesus 0, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Feria Sagrado Corazon De Jesus ., Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Ferrocarril. ., Anta",No geocodificable,No encontrado,No encontrado
Fitzcarral 1846,No geocodificable,No encontrado,No encontrado
Fnd.El Rancho S/N,No geocodificable,No encontrado,No encontrado
Francisco Bolognesi 0,No geocodificable,No encontrado,No encontrado
Francisco Bolognesi 134,No geocodificable,No encontrado,No encontrado
"Francisco Bolognesi 631 28, La Punta",No geocodificable,No encontrado,No encontrado
Francisco Bolognesi S/N 0,No geocodificable,No encontrado,No encontrado
"Francisco De Orellana 187, Breña",No geocodificable,No encontrado,No encontrado
"Francisco De Zela 500, Independencia",No geocodificable,No encontrado,No encontrado
"Francisco De Zela 504, Independencia",No geocodificable,No encontrado,No encontrado
"Francisco De Zela Pto 24, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
"Francisco Javier De Luna 301, La Victoria",No geocodificable,No encontrado,No encontrado
"Francisco Solano 394, Perene",No geocodificable,No encontrado,No encontrado
"Francisco Vidal 261, El Tambo",No geocodificable,No encontrado,No encontrado
"Franja Comercial Lt 43. Zona M 0, Ate",No geocodificable,No encontrado,No encontrado
"Frente Al Colegio I.E.89507 Hu 0, Samanco",No geocodificable,No encontrado,No encontrado
"Futuro Per? Pto.- 16, Comas",No geocodificable,No encontrado,No encontrado
"Galeria 23, San Miguel",No geocodificable,No encontrado,No encontrado
"Galeria Inca Wasi . 43747, Ventanilla",No geocodificable,No encontrado,No encontrado
"Gamarra Mariscal Agustin 205, Callao",No geocodificable,No encontrado,No encontrado
"Garcilazo De La Vega 0, Saña",No geocodificable,No encontrado,No encontrado
"General Cesar Canevaro 361, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
"General Jose De La Mar 2330, San Miguel",No geocodificable,No encontrado,No encontrado
"General Jose Rufino Echen 599, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
German Humpiri 392,No geocodificable,No encontrado,No encontrado
"Girnaldas 5, Pueblo Nuevo",No geocodificable,No encontrado,No encontrado
"Gonzalo Cabrera 385, Matara",No geocodificable,No encontrado,No encontrado
Graciano Ricse 133,No geocodificable,No encontrado,No encontrado
Graciano Ricse 181,No geocodificable,No encontrado,No encontrado
"Gral Luis Jose Orbegoso 1225, Breña",No geocodificable,No encontrado,No encontrado
Grau 0,No geocodificable,No encontrado,No encontrado
"Grau 0, Olmos",No geocodificable,No encontrado,No encontrado
"Grau 20, Las Lomas",No geocodificable,No encontrado,No encontrado
"Grau 180, Calca",No geocodificable,No encontrado,No encontrado
Grau 400,No geocodificable,No encontrado,No encontrado
"Grau 406, La Punta",No geocodificable,No encontrado,No encontrado
Grau 491,No geocodificable,No encontrado,No encontrado
Grau 518,No geocodificable,No encontrado,No encontrado
Grau 545,No geocodificable,No encontrado,No encontrado
"Grau 1508, La Victoria",No geocodificable,No encontrado,No encontrado
Grau S/N 0,No geocodificable,No encontrado,No encontrado
"Grau S/N, La Victoria",No geocodificable,No encontrado,No encontrado
"Graucalca 151 A, Lamay",No geocodificable,No encontrado,No encontrado
Guadalupe 474,No geocodificable,No encontrado,No encontrado
"Guardia Civil 1B, Castilla",No geocodificable,No encontrado,No encontrado
"Guatemala 400, Mariano Melgar",No geocodificable,No encontrado,No encontrado
"Gustavo Ponce 3605, Callao",No geocodificable,No encontrado,No encontrado
"Habilitacion Urbana 8E, Callaria",No geocodificable,No encontrado,No encontrado
Habitad - A-3 0,No geocodificable,No encontrado,No encontrado
"Hartley 0 12, Jose Luis Bustamante",No geocodificable,No encontrado,No encontrado
"Hermes 280, Ate",No geocodificable,No encontrado,No encontrado
"Hermes 281, Ate",No geocodificable,No encontrado,No encontrado
Hermosura 199,No geocodificable,No encontrado,No encontrado
"Heros 600 19, Bellavista",No geocodificable,No encontrado,No encontrado
"Herrillos 0 16, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
Higos Urco 169,No geocodificable,No encontrado,No encontrado
Higos Urco 184,No geocodificable,No encontrado,No encontrado
Hortalizas Pabellon Puesto N.4 1,No geocodificable,No encontrado,No encontrado
Huarangu Puesrto N  10 10,No geocodificable,No encontrado,No encontrado
"Huascar 442, Carmen Alto",No geocodificable,No encontrado,No encontrado
"Huayna Capac 940, La Victoria",No geocodificable,No encontrado,No encontrado
"Huayna Capac 1091, El Porvenir",No geocodificable,No encontrado,No encontrado
Huaynacap S/N 0,No geocodificable,No encontrado,No encontrado
Huaynacapac S/N 0,No geocodificable,No encontrado,No encontrado
Iberia 0,No geocodificable,No encontrado,No encontrado
"Ica 101, Cerro Colorado",No geocodificable,No encontrado,No encontrado
"Imperio 1063, La Victoria",No geocodificable,No encontrado,No encontrado
"Imperio 1276, La Victoria",No geocodificable,No encontrado,No encontrado
"Inca 0 134, La Victoria",No geocodificable,No encontrado,No encontrado
Inca Garcilaso De La Vega 107,No geocodificable,No encontrado,No encontrado
Inca Garcilazo De La Vega 1181,No geocodificable,No encontrado,No encontrado
"Inca Yupanqui 590, La Victoria",No geocodificable,No encontrado,No encontrado
"Inclan 108, Pedro Galvez",No geocodificable,No encontrado,No encontrado
"Inclan 427, Pedro Galvez",No geocodificable,No encontrado,No encontrado
"Independencia 0, Moro",No geocodificable,No encontrado,No encontrado
"Independencia 1, Dean Valdivia",No geocodificable,No encontrado,No encontrado
"Independencia 2, Moro",No geocodificable,No encontrado,No encontrado
"Independencia 9-9A, Callaria",No geocodificable,No encontrado,No encontrado
"Independencia 9-A, Callaria",No geocodificable,No encontrado,No encontrado
"Independencia 238, Moro",No geocodificable,No encontrado,No encontrado
Independencia 316,No geocodificable,No encontrado,No encontrado
"Independencia 505 B, Dean Valdivia",No geocodificable,No encontrado,No encontrado
"Independencia S/N, Mejia",No geocodificable,No encontrado,No encontrado
"Indoamerica 0 1, Villa Maria Del Triu",No geocodificable,No encontrado,No encontrado
"Industrial 0 43652, Pangoa",No geocodificable,No encontrado,No encontrado
"Industrial 0, Pangoa",No geocodificable,No encontrado,No encontrado
"Industrial 456, Eduardo Villanueva",No geocodificable,No encontrado,No encontrado
"Industrial 516, Pangoa",No geocodificable,No encontrado,No encontrado
"Industrial 520, Ate",No geocodificable,No encontrado,No encontrado
"Industrial 668, Pangoa",No geocodificable,No encontrado,No encontrado
"Industrial 1042, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Industrial S/N 4, Pangoa",No geocodificable,No encontrado,No encontrado
"Industrial S/N 20, Pangoa",No geocodificable,No encontrado,No encontrado
"Inmaculada 233, Olmos",No geocodificable,No encontrado,No encontrado
"Inmaculada Concepcion 0 S/N, Callao",No geocodificable,No encontrado,No encontrado
"Insurgentes Cd12 18 18, Bellavista",No geocodificable,No encontrado,No encontrado
"Insurgentes Sn Ui91, Bellavista",No geocodificable,No encontrado,No encontrado
Int. Mercado De Sisa 0,No geocodificable,No encontrado,No encontrado
Int. Mercado Modelo - Psto 3,No geocodificable,No encontrado,No encontrado
Int. Mercado Picota 0,No geocodificable,No encontrado,No encontrado
Interior Central 169,No geocodificable,No encontrado,No encontrado
Interior Mercado 0,No geocodificable,No encontrado,No encontrado
Interior  Mercado 01 0,No geocodificable,No encontrado,No encontrado
Interior Mercado Lamas S/N,No geocodificable,No encontrado,No encontrado
Interior Mercado N 1,No geocodificable,No encontrado,No encontrado
Interior Mercado Pto 11 0,No geocodificable,No encontrado,No encontrado
Interior Mercado Pto 23 S/N,No geocodificable,No encontrado,No encontrado
Interior Mercado Sisa 0,No geocodificable,No encontrado,No encontrado
Interior Parada Municipal - Ps 12,No geocodificable,No encontrado,No encontrado
Interior Parada Municipal - Ps 43684,No geocodificable,No encontrado,No encontrado
"Internacional/Cl Union . Sn, Alto De La Alianza",No geocodificable,No encontrado,No encontrado
"Inti Raymi 2225 8, San Jeronimo",No geocodificable,No encontrado,No encontrado
"Intiraymi 0, Saña",No geocodificable,No encontrado,No encontrado
"Israelia Psto. N 09 0, Santa",No geocodificable,No encontrado,No encontrado
"J. Galvez 1087, Bellavista",No geocodificable,No encontrado,No encontrado
"J. M. Arguedas 425, El Tambo",No geocodificable,No encontrado,No encontrado
J. Maria Gamboa S/N 0,No geocodificable,No encontrado,No encontrado
"J.P.V.G 17, Samuel Pastor",No geocodificable,No encontrado,No encontrado
"Jaquijahuana 754, Anta",No geocodificable,No encontrado,No encontrado
"Jaquijahuana 758 2, Anta",No geocodificable,No encontrado,No encontrado
"Jauja Sn A Una Del Parque S/N, Palca",No geocodificable,No encontrado,No encontrado
"Javier Heraud 0 13, Santa",No geocodificable,No encontrado,No encontrado
"Jc Mariategui 0 10A, Ricardo Palma",No geocodificable,No encontrado,No encontrado
"Jesus Es Mi Proveedor Pt.2 0, Santa",No geocodificable,No encontrado,No encontrado
"Jesus Nazareno 0, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
Jhon F Kennedy N_15 0,No geocodificable,No encontrado,No encontrado
Jhon F. Keneddy G-11 0,No geocodificable,No encontrado,No encontrado
Jimenez Pimentel 610,No geocodificable,No encontrado,No encontrado
"Jir 2 De Mayo N-148 148, Concepcion",No geocodificable,No encontrado,No encontrado
"Jir Arica N-639 639, Jauja",No geocodificable,No encontrado,No encontrado
"Jir Cahuide/Pucara Ns/N S/N, Jose Domingo Choqueh",No geocodificable,No encontrado,No encontrado
"Jir Calandrias N-216 216, Bellavista",No geocodificable,No encontrado,No encontrado
"Jir Cochrane N515 L. 505 ., Callao",No geocodificable,No encontrado,No encontrado
"Jir Grau N-180 180, Coya",No geocodificable,No encontrado,No encontrado
"Jir Grau N-1064 1064, El Tambo",No geocodificable,No encontrado,No encontrado
"Jir Jaquijahuana 0, Anta",No geocodificable,No encontrado,No encontrado
"Jir Jose Olaya N-550 550, San Miguel",No geocodificable,No encontrado,No encontrado
"Jir Jr. Jaquijahuana P-19 0, Anta",No geocodificable,No encontrado,No encontrado
"Jir Lima N477 477, La Perla",No geocodificable,No encontrado,No encontrado
"Jir Lima N477 P3 477, La Perla",No geocodificable,No encontrado,No encontrado
"Jir Lima N477 P9 477, La Perla",No geocodificable,No encontrado,No encontrado
"Jir Lima N477 P14 477, La Perla",No geocodificable,No encontrado,No encontrado
"Jir Lima N477 P34 477, La Perla",No geocodificable,No encontrado,No encontrado
"Jir Los Ayllus N109 109, Catac",No geocodificable,No encontrado,No encontrado
"Jir Manco Capac N-415 415, Carmen Alto",No geocodificable,No encontrado,No encontrado
"Jir Miller N386 386, Callao",No geocodificable,No encontrado,No encontrado
"Jir Mz. 30 Lt6.Nicrupampa Ns/ S/N, Independencia",No geocodificable,No encontrado,No encontrado
"Jir Ricardo Palma N-486 486, Concepcion",No geocodificable,No encontrado,No encontrado
"Jir Tupac Amaru N441 P34 441, Bellavista",No geocodificable,No encontrado,No encontrado
"Jir Tupac Amaru N497 P36 497, Bellavista",No geocodificable,No encontrado,No encontrado
"Jir Tupac Amaru P38, Bellavista",No geocodificable,No encontrado,No encontrado
"Jir Victor Velez P001 S/N, Independencia",No geocodificable,No encontrado,No encontrado
"Jorge Basadre 0, Santo Tomas",No geocodificable,No encontrado,No encontrado
"Jorge Chavez 171, El Tambo",No geocodificable,No encontrado,No encontrado
"Jorge Chavez 1180, Magdalena",No geocodificable,No encontrado,No encontrado
"Jorge Chavez 1284, Magdalena",No geocodificable,No encontrado,No encontrado
"Jorge Chavez Pto 311, La Victoria",No geocodificable,No encontrado,No encontrado
Jorge Chavez S/N,No geocodificable,No encontrado,No encontrado
"Jorge Chavez S/N, Pampas",No geocodificable,No encontrado,No encontrado
"Jose Antonio De Sucre 153401, Villa Maria Del Triu",No geocodificable,No encontrado,No encontrado
"Jose Antonio Sucre 1, Santiago",No geocodificable,No encontrado,No encontrado
Jose Arana 460,No geocodificable,No encontrado,No encontrado
Jose Barragal 360,No geocodificable,No encontrado,No encontrado
"Jose Carlos Mariategui 13, Ate",No geocodificable,No encontrado,No encontrado
"Jose Carlos Mariategui 283, Rupa-Rupa",No geocodificable,No encontrado,No encontrado
"Jose Carlos Mariategui C18 18 18, San Jeronimo",No geocodificable,No encontrado,No encontrado
Jose Carlos Mariategui K_18 0,No geocodificable,No encontrado,No encontrado
Jose Carlos Mariategui L_12 0,No geocodificable,No encontrado,No encontrado
"Jose De San Martin 1213, Independencia",No geocodificable,No encontrado,No encontrado
"Jose Galvez 261, La Victoria",No geocodificable,No encontrado,No encontrado
"Jose Galvez 416, Santa",No geocodificable,No encontrado,No encontrado
"Jose Galvez 460, La Perla",No geocodificable,No encontrado,No encontrado
"Jose Galvez 510, San Miguel",No geocodificable,No encontrado,No encontrado
"Jose Galvez S/N, San Miguel",No geocodificable,No encontrado,No encontrado
"Jose Granda 720, Samuel Pastor",No geocodificable,No encontrado,No encontrado
"Jose Mari Arguedas 101, Amarilis",No geocodificable,No encontrado,No encontrado
Jose Olaya 0,No geocodificable,No encontrado,No encontrado
"Jose Olaya 0 51, Bellavista",No geocodificable,No encontrado,No encontrado
"Jose Olaya 40 40, Bellavista",No geocodificable,No encontrado,No encontrado
Jose Olaya 100,No geocodificable,No encontrado,No encontrado
"Jose Olaya 131, Pampas",No geocodificable,No encontrado,No encontrado
"Jose Olaya 214, San Luis",No geocodificable,No encontrado,No encontrado
"Jose Olaya 290, Ate",No geocodificable,No encontrado,No encontrado
"Jose Olaya 306, San Luis",No geocodificable,No encontrado,No encontrado
Jose Olaya -,No geocodificable,No encontrado,No encontrado
"Jose Olaya , Mza. W , Lote 13, Moche",No geocodificable,No encontrado,No encontrado
"Jose Olaya ,Mza. T, Lote 9, Moche",No geocodificable,No encontrado,No encontrado
"Jose Olaya P37C 0, Bellavista",No geocodificable,No encontrado,No encontrado
Jose Pardo Cd09 -,No geocodificable,No encontrado,No encontrado
Jr 28 De Julio F_20 Mar?Timos 0,No geocodificable,No encontrado,No encontrado
Jr -28 De Julio 683 0,No geocodificable,No encontrado,No encontrado
"Jr .Tupac Amaru Cuadra 350, Moro",No geocodificable,No encontrado,No encontrado
"Jr Alfonso Ugarte 585, San Miguel",No geocodificable,No encontrado,No encontrado
"Jr Carlos Valderrama 126, Rimac",No geocodificable,No encontrado,No encontrado
"Jr Jose Lopez Albujar 196, Comas",No geocodificable,No encontrado,No encontrado
"Jr Los Huertos 1999 0, San Juan De Luriganc",No geocodificable,No encontrado,No encontrado
"Jr Pagador 233, Comas",No geocodificable,No encontrado,No encontrado
"Jr Planeta N59, Comas",No geocodificable,No encontrado,No encontrado
"Jr-12 De Julio N- 203, Independencia",No geocodificable,No encontrado,No encontrado
"Jr. Amarcalca 556, Lamay",No geocodificable,No encontrado,No encontrado
"Jr. Comercio 926, Vice",No geocodificable,No encontrado,No encontrado
"Jr. Espinarcalca 501, Lamay",No geocodificable,No encontrado,No encontrado
Jr. Libertad 660,No geocodificable,No encontrado,No encontrado
"Juan Espinoza Medrado. . 2, Santiago",No geocodificable,No encontrado,No encontrado
"Juan Espinoza Medrano 70, Jesus Nazareno",No geocodificable,No encontrado,No encontrado
"Juan Mauricio 0, Perene",No geocodificable,No encontrado,No encontrado
Juan Morales S/N,No geocodificable,No encontrado,No encontrado
Juan Morales Vivanco 0,No geocodificable,No encontrado,No encontrado
"Juan Pablo Ii 0 5, Bellavista",No geocodificable,No encontrado,No encontrado
"Juan Pablo Ii P-130 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Juan Pablo Ii Pto 121 0, Ventanilla",No geocodificable,No encontrado,No encontrado
"Juan Velasco Alvarado 0 10, San Juan De Miraflor",No geocodificable,No encontrado,No encontrado
"Juan Velasco Alvarado 0 10, Santa",No geocodificable,No encontrado,No encontrado
"Juan Velasco Alvarado 0 38, Bellavista",No geocodificable,No encontrado,No encontrado
